"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups","Message ID","Latitude","Longitude","Site","Net_Name","Depth_Stratum","daylight","date_start","lat_decdeg_start","DateR_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","Site_stop","date_stop","DateR_stop","towtime","Speed_mpm","distance_m","VolumeFiltered_m3"
"15","in2020_v08",22,37,"Melanonidae - undifferentiated",37224918,4,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",308,"47  04.39 S","141  20.91 E","SOTS","RMT16","Lmeso","Day",2020-12-20 02:51:00,-46.9268333333333,"20/12/2020 2:51",-140.6515,-46.9575,-140.681333333333,"SOTS",2020-12-20 04:51:00,"20/12/2020 4:51",120,30.867284,3704.07408,59265.18528
"16","in2020_v08",14,38,"Melanonus sp.",37224501,0.5,3,"<","1","-20 degC",NA,"Plastic Bag","Fish","Fish",260,"47  05.53 S","141  21.24 E","SOTS","RMT16","Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"17","in2020_v08",7,8,"Melanonus gracilis",37224015,17,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",248,"47  05.8 S","141  23.16 E","SOTS","RMT16","Lmeso","Day",2020-12-12 04:25:00,-46.9033333333333,"12/12/2020 4:25",-140.614,-46.9305,-140.576333333333,"SOTS",2020-12-12 06:25:00,"12/12/2020 6:25",120,30.867284,3704.07408,59265.18528
"18","in2020_v08",13,34,"Melanonus gracilis",37224015,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",258,"47  05.41 S","141  21.78 E","SOTS","RMT16","Lmeso","Night",2020-12-15 11:46:00,-46.9098333333333,"15/12/2020 11:46",-140.637,-46.8858333333333,-140.659833333333,"SOTS",2020-12-15 13:46:00,"15/12/2020 13:46",120,30.867284,3704.07408,59265.18528
"19","in2020_v08",29,17,"Melanonus gracilis",37224015,21,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",523,"55  47.02 S","138  34.82 E","55S","RMT16","Lmeso","Night",2020-12-26 15:44:00,-54.2163333333333,"26/12/2020 15:44",-137.419666666667,-54.2151666666667,-137.103166666667,"55S",2020-12-26 17:44:00,"26/12/2020 17:44",120,30.867284,3704.07408,59265.18528
"20","in2020_v08",14,35,"Oneirodes notius",37216008,30,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",260,"47  05.53 S","141  21.24 E","SOTS","RMT16","Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"21","in2020_v08",36,24,"Melanocetus spp.",37213901,15,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish",708,"55  53.2 S","138  26.18 E","55S","RMT16","Lmeso","Day",2020-12-31 01:36:00,-54.1133333333333,"31/12/2020 1:36",-137.563666666667,-54.1341666666667,-137.612833333333,"55S",2020-12-31 03:36:00,"31/12/2020 3:36",120,30.867284,3704.07408,59265.18528
"22","in2020_v08",41,15,"Benthalbella elongata",37131750,22,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",694,"57  58.61 S","141  19.16 E","58S","RMT16","Lmeso","Day",2021-01-04 02:39:00,-56.0231666666667,"4/01/2021 2:39",-140.680666666667,-56.046,-140.7225,"58S",2021-01-04 04:39:00,"4/01/2021 4:39",120,30.867284,3704.07408,59265.18528
"23","in2020_v08",47,4,"Benthalbella elongata",37131750,4,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",759,"57  55.76 S","141  27.68 E","58S","RMT16","Lmeso","Day",2021-01-07 04:55:00,-56.0706666666667,"7/01/2021 4:55",-140.538666666667,-56.0785,-140.589,"58S",2021-01-07 06:55:00,"7/01/2021 6:55",120,30.867284,3704.07408,59265.18528
"24","in2020_v08",52,13,"Benthalbella elongata",37131750,7,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",816,"57  52.98 S","141  35.01 E","55S","RMT16","Targeted_850to750","Day",2021-01-09 01:36:00,-56.117,"9/01/2021 1:36",-140.4165,-56.117,-140.437333333333,"58S",2021-01-09 02:16:00,"9/01/2021 2:16",40,30.867284,1234.69136,19755.06176
