"","ACat","Taxa_updated","CAAB_updated"
"131","FGB","Avocettina spp.",37076005
"132","FnGB","Microstoma australis",37097002
"133","FnGB","Nansenia ardesiaca",37097004
"134","FnGB","Microstomatidae - undifferentiated",37097906
"135","FnGB","Bathylagidae - undifferentiated",37098000
"136","FnGB","Bathylagus spp.",37098903
"137","FGB","Winteria telescopa",37099003
"138","FGB","Phosichthys argenteus",37106002
"139","FGB","Diplophos rebainsi",37106010
"140","FGB","Cyclothone spp.",37106902
"141","FGB","Woodsia spp.",37106911
"142","FGB","Woodsia meyerwardenii",37106913
"143","FGB","Sternoptychidae - undifferentiated",37107000
"144","FGB","Argyropelecus gigas",37107005
"145","FGB","Argyropelecus hemigymnus",37107006
"146","FGB","Argyropelecus spp.",37107902
"147","FGB","Sternoptyx spp.",37107905
"148","FGB","Borostomias spp.",37108902
"149","FGB","Malacosteus australis",37110003
"150","FnGB","Stomiidae - undifferentiated",37112000
"151","FnGB","Stomias gracilis",37112801
"152","FnGB","Stomias spp.",37112902
"153","FnGB","Idiacanthus atlanticus",37113002
"154","FnGB","Persparsia kopua",37115001
"155","FGB","Myctophidae - undifferentiated",37122000
"156","FGB","Electrona subaspera",37122014
"157","FGB","Lampanyctus australis",37122019
"158","FGB","Diaphus hudsoni",37122061
"159","FGB","Electrona paucirastra",37122075
"160","FGB","Nannobrachium achirus",37122096
"161","FGB","Protomyctophum parallelum",37122102
"162","FGB","Symbolophorus boops",37122103
"163","FGB","Gymnoscopelus microlampas",37122106
"164","FGB","Gymnoscopelus fraseri",37122114
"165","FGB","Lampanyctus spp.",37122503
"166","FGB","Protomyctophum spp.",37122521
"167","FGB","Electrona antarctica",37122750
"168","FGB","Gymnoscopelus braueri",37122751
"169","FGB","Gymnoscopelus opisthopterus",37122753
"170","FGB","Krefftichthys anderssoni",37122754
"171","FGB","Protomyctophum bolini",37122755
"172","FGB","Electrona spp.",37122901
"173","FGB","Gymnoscopelus spp.",37122909
"174","FGB","Nannobrachium spp.",37122920
"175","FnGB","Paralepididae - undifferentiated",37126000
"176","FnGB","Notolepis coatsi",37126750
"177","FnGB","Notolepis spp.",37126907
"178","FnGB","Evermannella balbo",37130002
"179","FnGB","Benthalbella macropinna",37131751
"180","FnGB","Melanocetus spp.",37213901
"181","FnGB","Oneirodes notius",37216008
"182","FnGB","Melanonus gracilis",37224015
"183","FGB","Melamphaidae - undifferentiated",37251000
"184","FnGB","Scopelogadus beanii",37251005
"185","FGB","Poromitra spp.",37251902
"186","FGB","Scopeloberyx spp.",37251903
"187","FGB","Oreosomatidae - undifferentiated",37266000
"188","FnGB","Trachipteridae - undifferentiated",37271000
"189","FnGB","Liparidae - undifferentiated",37307000
"190","FGB","Paradiplospinus gracilis",37439005
"191","FGB","Gempylidae - undifferentiated",37439918
"192","FGB","Myctophid larvae",NA
"193","Tunicates","remainder",NA
"194","Medusa","Hydromedusa",NA
"195","FGB","Larval Fish",NA
"196","Other","eggs",NA
"197","Other","Pelagic worm",NA
"198","Tunicates","Salpa thompsoni - solitary juv",NA
"199","Tunicates","Salpa thompsoni - aggregate",NA
"200","Tunicates","Salpa thompsoni - solitary",NA
"201","FGB","Fish",NA
"202","Copepod","Eusirella spp",NA
"203","Other","Spherical eggs",NA
"204","Gymnosome","Spongiobranchaea australis",NA
"205","Crustacean","Phyllosoma",NA
"206","worms","Suborder Senticaudata - undifferentiated",NA
"207","Amphipods","Hyperia medusarium",NA
"208","Prawn","Mixed Prawn larvae",NA
"209","Isopods","Suborder Asellota - undifferentiated",NA
"210","Other","Phronima houses",NA
"211","FGB","Eel Larvae clear",NA
