,Acoustic_Category,Taxa_Groups,ACat,CAAB_updated,bladder_research,source,link,Taxa_updated,,,,
,,,,,FSB,buoyancy,,Gonostoma denudatum,,,,
,,,,,FnSB,buoyancy,,Chauliodus sloanei,,,,
,,,,,FnSB,buoyancy,,Ctenolabrus rupestris,,,,
,,,,,FSB,buoyancy,,Labrus bergyltaf,,,,
,,,,,FnSB,buoyancy,,Melanostomiatidae - undifferentiated,,,,
,,,,,FnSB,buoyancy,,Stomiatidae - undifferentiated,,,,
,,,,,FnSB,buoyancy,,Chauliodontidae - undifferentiated,,,,
,,,,,FnSB,buoyancy,,Malacosteidae - undifferentiated,,,,
,,,,,FnSB,buoyancy,,Alepocephalidae - undifferentiated,,,,
,,,,,FnSB,buoyancy,,Bathylogidae - undifferentiated,,,,
,,,,,FnSB,buoyancy,,stomiatoids,,,,
,,,,,FnSB,buoyancy,,clupeoids,,,,
,,,,,FnSB,buoyancy,,salmonoids,,,,
,,,,,FnSB,buoyancy,,Idiacanthidae - undifferentiated,,,,
,,,,,,,,Alepisauroidea - undifferentiated,,,,
,,,,,,,,Lyomeri spp.,,,,
,,,,,,,,Giganturoidea - undifferentiated,,,,
,,,,,,,,Cetunculi spp.,,,,
,,,,,,,,Miripinnati spp.,,,,
,,,,,FnSB,https://docs.niwa.co.nz/library/public/NZAEBR-208.pdf,,Gonorynchus forsteri,,,,
,,,,,FnSB,,https://www.gutenberg.org/files/51702/51702-h/51702-h.htm,Gonorhynchiae  - undifferentiated,,,,
,,,,,FnSB,,,NEMATOGNATHI,catfish,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Melanostomiatidae - undifferentiated,vertical migrators,,,Melanostomiidae
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Malacosteidae - undifferentiated,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Omosudidae - undifferentiated,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Evermannellidae - undifferentiated,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Scopelarchidae - undifferentiated,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Stomiatidae - undifferentiated,vertical migrators,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Chauliodontidae - undifferentiated,vertical migrators,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Alepisauridae - undifferentiated,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Anotopteridae - undifferentiated,,,,
,,,,,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Paralepididae - undifferentiated,,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Gonostomatidae - undifferentiated,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Argentinidae - undifferentiated,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Sternoptychidae - undifferentiated,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Myctophidae - undifferentiated,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Melamphaidae - undifferentiated,vertical migrators,,Melamphaeidae,Melamphaidae
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Astronesthidae - undifferentiated,vertical migrators,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Trichiuridae - undifferentiated,,,,
,,,,,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Chiasmodontidae - undifferentiated,,,,
,,,,,FnSB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Melanonidae - undifferentiated,,,,
,,,,,FnSB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Melanonus spp.,spelt Melanomus,,,
,,,,,FnSB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Squalogadus spp.,,,,
,,,,,FnSB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Scopelengys spp.,,,,
,,,,,FSB ,,,Neoscopelidae - undifferentiated,SB prsent in all bu Scopelengys,,,
,,,,,FSB,,,Gempylidae - undifferentiated,,,,
,,,,,FnSB,,Imants G. Priede,Oneirodidae - undifferentiated,,,,
,,,,,FnSB,,Imants G. Priede,Bathylagus spp.,,,,
,,,,,FnSB,,Imants G. Priede,Chauliodus spp.,,,,
,,,,,FnSB,,Imants G. Priede,Eurypharynx spp.,,,,
,,,,,FnSB,,Imants G. Priede,Gonostoma elongatum,,,,
,,,,,FnSB,,Imants G. Priede,Photostomias spp.,,,,
,,,,,FnSB,,Imants G. Priede,Melanocoetus spp.,,,,
,,,,,FnSB,,Imants G. Priede,Leptostomias spp.,,,,
,,,,,FnSB,,Imants G. Priede,Xenodermichthys spp.,,,,
,,,,,FSB,,Imants G. Priede,Gadidae - undifferentiated,,,,
,,,,,FSB,,Imants G. Priede,Ophidiidae - undifferentiated,,,,
,,,,,FSB,,Imants G. Priede,Macrouridae - undifferentiated,,,,
,,,,,FnSB,,Brian W. Coad,Microstomatidae - undifferentiated,,,,
,,,,,FnSB,,Brian W. Coad,Gonostoma bathyphilum,,,,
,,,,,FSB,,Brian W. Coad,Argyropelecus aculeatus,,,,
,,,,,FnSB,,FishBase,Platytroctidae - undifferentiated,,,,
,,,,,FSB,,,Gempylidae - undifferentiated,,,,
,,,,,FSB,,,Oreosomatidae - undifferentiated,,,,
,,,,,FSB,,,"Scombrolabracidae, Gempylidae - undifferentiated",,,,
