,Acoustic_Category,Taxa_Groups,ACat,CAAB_updated,bladder_research,source,link,Taxa_updated,,,,
10,F,F,F,NA,FSB,,,Larval Fish,,,,
75,F,F,F,NA,F,,,Fish,,,,
56,F,F,F,37097002,FnSB,Coad - marine fishes of Canada,https://www.degruyter.com/document/doi/10.3138/9781442667297-039/pdf,Microstoma australis,,,,
136,F,F,F,37097004,FnSB,,,Nansenia ardesiaca,,,,
52,F,F,F,37098903,FnSB,adaptions to deepsea,,Bathylagus spp.,,,,
44,F,F,F,37112000,FnSB,buoyancy,,Stomiidae - undifferentiated,,,,
43,F,F,F,37112801,FnSB,buoyancy,,Stomias gracilis,,,,
102,F,F,F,37112902,FnSB,buoyancy,,Stomias spp.,,,,
76,F,F,F,37115001,FnSB,,FishBase -family,Persparsia kopua,,,,
122,F,F,F,37126000,FnSB,buoyancy,,Paralepididae - undifferentiated,,,,
109,F,F,F,37126750,FnSB,,,Notolepis coatsi,,,,
101,F,F,F,37126907,FnSB,,,Notolepis spp.,,,,
15,F,F,F,37130002,FnSB,,,Evermannella balbo,,,,
112,F,F,F,37131751,FnSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf - family,Benthalbella macropinna,,,,
57,F,F,F,37216008,FnSB,,Priede - family,Oneirodes notius,,,,
41,F,F,F,37224015,FnSB,,,Melanonus gracilis,,,,
58,F,F,F,37251005,FnSB,family,,Scopelogadus beanii,,,,
123,F,F,F,37271000,FnSB,FishBase,,Trachipteridae - undifferentiated,,,,
69,F,F,F,37307000,FnSB,Gerrigner et al,,Liparidae - undifferentiated,,,,
42,F,F,F,37076001,FSB,,https://www.encyclopedia.com/environment/encyclopedias-almanacs-transcripts-and-maps/anguilliformes-eels-and-morays,Nemichthys curvirostris,,,,
9,F,F,F,37106010,FSB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Diplophos rebainsi,,,,
45,F,F,F,37106911,FSB,,csiro,Woodsia spp.,,,,
73,F,F,F,37106913,FSB,,csiro,Woodsia meyerwardenii,Woodsia meyerwaardeni,,,
19,F,F,F,37251902,FSB,family,,Poromitra spp.,,,,
132,F,F,F,37439005,FSB,Mcclatchie - family,,Paradiplospinus gracilis,,,,
21,FGB,FGB,FGB,37098000,FnSB,Coad - marine fishes of Canada,https://www.degruyter.com/document/doi/10.3138/9781442667297-039/pdf,Bathylagidae - undifferentiated,,,,
61,FGB,FGB,FGB,37099003,,,,Winteria telescopa,,,,
16,FGB,FGB,FGB,37106902,,,,Cyclothone spp.,,,,
20,FGB,FGB,FGB,37107005,,,,Argyropelecus gigas,,,,
3,FGB,FGB,FGB,37107006,,,,Argyropelecus hemigymnus,,,,
22,FGB,FGB,FGB,37108902,,,,Borostomias spp.,,,,
77,FGB,FGB,FGB,37110003,,,,Malacosteus australis,,,,
59,FGB,FGB,FGB,37122014,,,,Electrona subaspera,,,,
12,FGB,FGB,FGB,37122019,,,,Lampanyctus australis,,,,
46,FGB,FGB,FGB,37122061,,,,Diaphus hudsoni,,,,
11,FGB,FGB,FGB,37122075,,,,Electrona paucirastra,,,,
23,FGB,FGB,FGB,37122096,,,,Nannobrachium achirus,,,,
79,FGB,FGB,FGB,37122102,,,,Protomyctophum parallelum,,,,
80,FGB,FGB,FGB,37122103,,,,Symbolophorus boops,,,,
74,FGB,FGB,FGB,37122106,,,,Gymnoscopelus microlampas,,,,
60,FGB,FGB,FGB,37122114,,,,Gymnoscopelus fraseri,,,,
137,FGB,FGB,FGB,37122503,,,,Lampanyctus spp.,,,,
115,FGB,FGB,FGB,37122521,,,,Protomyctophum spp.,,,,
93,FGB,FGB,FGB,37122750,,,,Electrona antarctica,,,,
97,FGB,FGB,FGB,37122751,,,,Gymnoscopelus braueri,,,,
124,FGB,FGB,FGB,37122753,,,,Gymnoscopelus opisthopterus,,,,
94,FGB,FGB,FGB,37122754,,,,Krefftichthys anderssoni,,,,
53,FGB,FGB,FGB,37122755,,,,Protomyctophum bolini,,,,
113,FGB,FGB,FGB,37122901,,,,Electrona spp.,,,,
70,FGB,FGB,FGB,37122909,,,,Gymnoscopelus spp.,,,,
114,FGB,FGB,FGB,37122920,,,,Nannobrachium spp.,,,,
78,FGB,FGB,FGB,NA,,,,Myctophid larvae,,,,
131,FnGB,FnGB,FnGB,37213901,,,,Melanocetus spp.,,,,
,F,F,F,,FSB,,,Gempylidae - undifferentiated,,,,
,,,,,FSB,,,Eel Larvae clear,,,,
,,,,,FnSB,Brian W. Coad,,Microstomatidae - undifferentiated,,,,
,,,,,FnSB,,,Bathysaurus spp.,,,,
,,,,,FnSB,,,Helicolenus spp.,,,,
,,,,,FnSB,,,Lophius spp.,,,,
,,,,,FnSB,,,Reinhardtius,,,,
,,,,,FnSB,,,Scomber scombrus,,,,
,,,,,FnSB,buoyancy,,Gonostoma elongatum,,,,
,,,,,FnSB,buoyancy,,Stomiatoidea - undifferentiated,,,,
,,,,,FnSB,buoyancy,,Xenodermichthys copei,,,,
,,,,,FnSB,buoyancy,,Gonostoma elongatum,,,,
