,Message ID,Latitude,Longitude,Site,Net_Name,Deployment,Depth_Stratum,daylight,date_start,lat_decdeg_start,DateR_start,long_decdeg_start,lat_decdeg_stop,long_decdeg_stop,Site_stop,date_stop,DateR_stop,towtime,Speed_mpm,distance_m_byspeed,VolumeFiltered_m3_speed,Distance_gps_m,VolumeFiltered_m3_gps,Vdiff_sp_gps
21,576,55  48.24 S,138  22.54 E,55S,RMT16,33,Epi,Day,30/12/2020 18:25,-54.196,30/12/2020 18:25,-137.6243333,-54.19616667,-137.6246667,55S,30/12/2020 19:05,30/12/2020 19:05,40,30.867284,1234.69136,19755.06176,28.52406821,456.3850914,-19298.67667
22,470,55  49.52 S,138  55.39 E,55S,RMT16,28,Lmeso,Day,26/12/2020 5:28,-54.17466667,26/12/2020 5:28,-137.0768333,-54.211,-137.1255,55S,26/12/2020 7:28,26/12/2020 7:28,120,30.867284,3704.07408,59265.18528,5132.84216,82125.47455,22860.28927
23,574,55  49.67 S,138  35.14 E,55S,RMT16,34,Meso,Night,29/12/2020 13:42,-54.17216667,29/12/2020 13:42,-137.4143333,-54.17483333,-137.4376667,55S,29/12/2020 14:22,29/12/2020 14:22,40,30.867284,1234.69136,19755.06176,1547.350918,24757.61468,5002.55292
24,688,55  49.77 S,138  26.23 E,55S,RMT16,35,Lmeso,Night,30/12/2020 15:43,-54.1705,30/12/2020 15:43,-137.5628333,-54.19066667,-137.6135,55S,30/12/2020 17:43,30/12/2020 17:43,120,30.867284,3704.07408,59265.18528,3987.4234,63798.7744,4533.58912
25,572,55  50.16 S,138  45.8 E,55S,RMT16,30,Lmeso,Day,27/12/2020 2:28,-54.164,27/12/2020 2:28,-137.2366667,-54.18383333,-137.337,55S,27/12/2020 3:08,27/12/2020 3:08,40,30.867284,1234.69136,19755.06176,6892.573393,110281.1743,90526.11254
26,468,55  50.75 S,138  59.51 E,55S,RMT16,27,Epi,Night,25/12/2020 13:23,-54.15416667,25/12/2020 13:23,-137.0081667,-54.15616667,-137.0321667,55S,25/12/2020 14:03,25/12/2020 14:03,40,30.867284,1234.69136,19755.06176,1578.501413,25256.02262,5500.96086
27,708,55  53.2 S,138  26.18 E,55S,RMT16,36,Lmeso,Day,31/12/2020 1:36,-54.11333333,31/12/2020 1:36,-137.5636667,-54.13416667,-137.6128333,55S,31/12/2020 3:36,31/12/2020 3:36,120,30.867284,3704.07408,59265.18528,3953.668993,63258.70388,3993.5186
28,465,55  53.88 S,139  05.43 E,55S,RMT16,24,Meso,Day,24/12/2020 5:38,-54.102,24/12/2020 5:38,-138.9095,-54.10383333,-138.9366667,55S,24/12/2020 6:18,24/12/2020 6:18,40,30.867284,1234.69136,19755.06176,1782.879442,28526.07107,8771.00931
29,423,55  54.19 S,139  08.73 E,55S,RMT16,23,Epi,Day,24/12/2020 2:49,-54.09683333,24/12/2020 2:49,-138.8545,-54.09866667,-138.881,55S,24/12/2020 3:29,24/12/2020 3:29,40,30.867284,1234.69136,19755.06176,1739.920664,27838.73063,8083.66887
30,308,47  04.39 S,141  20.91 E,SOTS,RMT16,22,Lmeso,Day,20/12/2020 2:51,-46.92683333,20/12/2020 2:51,-140.6515,-46.9575,-140.6813333,SOTS,20/12/2020 4:51,20/12/2020 4:51,120,30.867284,3704.07408,59265.18528,4093.592464,65497.47942,6232.29414
