"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"46","in2020_v08",12,8,"Electrona spp.",37122901,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"47","in2020_v08",26,5,"Electrona spp.",37122901,3,1,NA,NA,"-20 degC",NA,"Plastic bucket","Fish","Fish"
"48","in2020_v08",30,9,"Electrona spp.",37122901,17,14,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"49","in2020_v08",25,20,"Krefftichthys anderssoni",37122754,3,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"50","in2020_v08",27,27,"Krefftichthys anderssoni",37122754,13,6,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"51","in2020_v08",28,16,"Krefftichthys anderssoni",37122754,4,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"52","in2020_v08",29,12,"Krefftichthys anderssoni",37122754,8,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"53","in2020_v08",30,7,"Krefftichthys anderssoni",37122754,9,5,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"54","in2020_v08",31,9,"Krefftichthys anderssoni",37122754,8,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"55","in2020_v08",34,23,"Krefftichthys anderssoni",37122754,16,6,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"56","in2020_v08",35,3,"Krefftichthys anderssoni",37122754,28,11,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"57","in2020_v08",35,60,"Krefftichthys anderssoni",37122754,NA,NA,"subsample","for","Ambient","discarded onboard",NA,"Fish","Fish"
"58","in2020_v08",36,19,"Krefftichthys anderssoni",37122754,6,8,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"59","in2020_v08",37,1,"Krefftichthys anderssoni",37122754,5,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"60","in2020_v08",40,24,"Krefftichthys anderssoni",37122754,27,21,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"61","in2020_v08",41,2,"Krefftichthys anderssoni",37122754,8,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"62","in2020_v08",42,1,"Krefftichthys anderssoni",37122754,25,5,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"63","in2020_v08",45,1,"Krefftichthys anderssoni",37122754,11,4,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"64","in2020_v08",46,2,"Krefftichthys anderssoni",37122754,28,11,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"65","in2020_v08",48,7,"Krefftichthys anderssoni",37122754,4,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"66","in2020_v08",49,4,"Krefftichthys anderssoni",37122754,1,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"67","in2020_v08",52,17,"Krefftichthys anderssoni",37122754,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"68","in2020_v08",53,3,"Krefftichthys anderssoni",37122754,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"69","in2020_v08",35,6,"Gymnoscopelus opisthopterus",37122753,1,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"70","in2020_v08",27,25,"Gymnoscopelus braueri",37122751,10,9,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"71","in2020_v08",29,14,"Gymnoscopelus braueri",37122751,0.5,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"72","in2020_v08",30,8,"Gymnoscopelus braueri",37122751,0.5,8,"<","1","-20 degC",NA,"Plastic Bag","Fish","Fish"
"73","in2020_v08",25,21,"Electrona antarctica",37122750,2,5,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"74","in2020_v08",27,26,"Electrona antarctica",37122750,32,32,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"75","in2020_v08",28,15,"Electrona antarctica",37122750,95,33,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"76","in2020_v08",29,13,"Electrona antarctica",37122750,21,9,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"77","in2020_v08",32,18,"Electrona antarctica",37122750,0.5,1,"<","1","-20 degC",NA,"Plastic Bag","Fish","Fish"
"78","in2020_v08",35,5,"Electrona antarctica",37122750,3,7,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"79","in2020_v08",36,23,"Electrona antarctica",37122750,19,10,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"80","in2020_v08",37,2,"Electrona antarctica",37122750,22,20,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"81","in2020_v08",41,10,"Electrona antarctica",37122750,121,33,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"82","in2020_v08",42,4,"Electrona antarctica",37122750,16,10,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"83","in2020_v08",45,2,"Electrona antarctica",37122750,10,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"84","in2020_v08",46,6,"Electrona antarctica",37122750,10,7,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"85","in2020_v08",47,1,"Electrona antarctica",37122750,20,9,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"86","in2020_v08",49,1,"Electrona antarctica",37122750,9,7,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"87","in2020_v08",53,2,"Electrona antarctica",37122750,4,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"88","in2020_v08",1,6,"Bolinichthys sp.",37122522,0.5,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"89","in2020_v08",30,3,"Bolinichthys sp.",37122522,3,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"90","in2020_v08",25,22,"Protomyctophum sp.",37122521,2,4,"unidentified;","carslbergi","-20 degC",NA,"Plastic Bag","Fish","Fish"
"91","in2020_v08",28,23,"Protomyctophum sp.",37122521,5,7,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"92","in2020_v08",29,61,"Protomyctophum sp.",37122521,1,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"93","in2020_v08",30,6,"Protomyctophum sp.",37122521,0.5,1,">","1","-20 degC",NA,"Plastic Bag","Fish","Fish"
"94","in2020_v08",34,22,"Protomyctophum sp.",37122521,0.5,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"95","in2020_v08",36,18,"Protomyctophum sp.",37122521,4,12,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"96","in2020_v08",40,33,"Protomyctophum sp.",37122521,1,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"97","in2020_v08",46,56,"Protomyctophum sp.",37122521,0.5,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"98","in2020_v08",49,3,"Protomyctophum sp.",37122521,7,5,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"99","in2020_v08",11,24,"Lampanyctus sp.",37122503,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"100","in2020_v08",28,13,"Lampanyctus sp.",37122503,35,5,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"101","in2020_v08",29,18,"Lampanyctus sp.",37122503,22,5,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"102","in2020_v08",36,20,"Lampanyctus sp.",37122503,25,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"103","in2020_v08",41,7,"Lampanyctus sp.",37122503,22,2,"Lampanyctus","sp.","-20 degC",NA,"Plastic Bag","Fish","Fish"
"104","in2020_v08",41,29,"Lampanyctus sp.",37122503,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"105","in2020_v08",42,5,"Lampanyctus sp.",37122503,61,2,"35","g;","-20 degC",NA,"Plastic Bag","Fish","Fish"
"106","in2020_v08",46,7,"Lampanyctus sp.",37122503,8,1,"Species","A","-20 degC",NA,"Plastic Bag","Fish","Fish"
"107","in2020_v08",35,61,"Protomyctophum tenisoni",37122117,2,12,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"108","in2020_v08",22,32,"Hintonia candens",37122115,4,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"109","in2020_v08",14,39,"Gymnoscopelus fraseri",37122114,0.5,2,"<","1","-20 degC",NA,"Plastic Bag","Fish","Fish"
"110","in2020_v08",37,3,"Gymnoscopelus bolini",37122113,18,8,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"111","in2020_v08",5,4,"Electrona carlsbergi",37122104,3,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"112","in2020_v08",7,29,"Electrona carlsbergi",37122104,1,5,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"113","in2020_v08",13,36,"Electrona carlsbergi",37122104,2,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"114","in2020_v08",14,40,"Electrona carlsbergi",37122104,2,4,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"115","in2020_v08",22,39,"Symbolophorus boops",37122103,3,9,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"116","in2020_v08",35,7,"Lampanyctus macdonaldi",37122063,26,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"117","in2020_v08",18,8,"Diaphus hudsoni",37122061,7,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"118","in2020_v08",1,2,"Lampanyctus australis",37122019,100,18,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"119","in2020_v08",5,2,"Lampanyctus australis",37122019,12,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"120","in2020_v08",7,4,"Lampanyctus australis",37122019,98,27,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"121","in2020_v08",11,3,"Lampanyctus australis",37122019,46,8,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"122","in2020_v08",14,32,"Lampanyctus australis",37122019,25,8,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"123","in2020_v08",17,19,"Lampanyctus australis",37122019,4,4,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"124","in2020_v08",18,11,"Lampanyctus australis",37122019,3,1,"small",NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"125","in2020_v08",18,12,"Lampanyctus australis",37122019,50,5,"large",NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"126","in2020_v08",18,37,"Lampanyctus australis",37122019,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"127","in2020_v08",22,21,"Lampanyctus australis",37122019,50,17,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"128","in2020_v08",22,57,"Lampanyctus australis",37122019,NA,1,"subsample","of","-20 degC",NA,"Plastic Bag","Fish","Fish"
"129","in2020_v08",22,58,"Lampanyctus australis",37122019,NA,1,"subsample","of","-20 degC",NA,"Plastic Bag","Fish","Fish"
"130","in2020_v08",22,59,"Lampanyctus australis",37122019,NA,1,"subsample","of","-20 degC",NA,"Plastic Bag","Fish","Fish"
"131","in2020_v08",22,60,"Lampanyctus australis",37122019,NA,1,"subsample",NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"132","in2020_v08",22,61,"Lampanyctus australis",37122019,NA,1,"Gut","content",NA,"discarded onboard",NA,"Fish","Fish"
"133","in2020_v08",22,62,"Lampanyctus australis",37122019,NA,1,"Gut","content",NA,"discarded onboard",NA,"Fish","Fish"
"134","in2020_v08",22,63,"Lampanyctus australis",37122019,NA,NA,"Gut","content",NA,"discarded onboard",NA,"Fish","Fish"
"135","in2020_v08",17,34,"Electrona subaspera",37122014,3,4,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"136","in2020_v08",2,4,"Myctophidae - undifferentiated",37122000,0.5,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
