SPCODE,Species_Name,ACat
37122004,Hygophum hygomii,FGB
37251000,Melamphaidae - undifferentiated,FGB
28081001,Neognathophausia ingens,Crust
28734902,Oplophorus spp.,Crust
28713903,Gennadas spp.,Crust
35101002,Pyrostremma spinosum,Gel
28702903,Nematoscelis spp.,Crust
37106004,Sigmops elongatus,F
37098005,Melanolagus bericoides,F
37122049,Nannobrachium atrum,FGB
23643014,Teuthowenia pellucida,Ceph
28735901,Acanthephyra spp.,Crust
28720000,Sergestidae - undifferentiated,Crust
37109908,Photonectes spp.,F
28720020,Phorcosergia potens,Crust
28734007,Systellaspis debilis,Crust
37112902,Stomias spp.,F
37108003,Astronesthes boulengeri,FnGB
37122042,Diogenichthys atlanticus,FGB
37251901,Melamphaes spp.,F
37122920,Nannobrachium spp.,FGB
37125000,Notosudidae - undifferentiated,FnGB
37122022,Notoscopelus resplendens,FGB
23630004,Histioteuthis eltaninae,Ceph
28501000,Hyperiopsidae - undifferentiated,Crust
37427908,Foetorepus spp.,F
37109008,Eustomias trewavasae,F
37215901,Himantolophus spp.,F
37272003,Agrostichthys parkeri,F
37099001,Monacoa griseus,F
37122919,Myctophum spp.,FGB
37279002,Macroramphosus scolopax,F
37224015,Melanonus gracilis,F
37107004,Argyripnus iridescens,F
11082000,Cuninidae - undifferentiated,Gel
23621004,Pterygioteuthis gemmata,Ceph
37465903,Monacanthidae - undifferentiated,F
37337000,Carangidae - undifferentiated,F
28291000,Hypsimetopodidae - undifferentiated,Crust
11079000,Order Trachymedusae - undifferentiated,Gel
11094902,Vogtia spp.,Gel
23609000,Sepiolidae - undifferentiated,Ceph
28081901,Gnathophausia spp.,Crust
24000000,Class Gastropoda - undifferentiated,Crust
23662000,Argonautidae - undifferentiated,Ceph
37113002,Idiacanthus atlanticus,FnGB
37109903,Eustomias spp.,F
28030000,Order Stomatopoda - undifferentiated,Crust
37327010,Epigonus denticulatus,F
37232003,Coelorinchus mirus,F
37232058,Hymenocephalus longibarbis,F
23609005,Austrorossia australis,Ceph
23607002,Sepia cultrata,Ceph
37122906,Diaphus spp.,FGB
37427028,Foetorepus apricus,F
28220000,Cirolanidae - undifferentiated,Crust
37467000,Tetraodontidae - undifferentiated,F
37337907,Trachurus spp.,F
23621008,Ancistrocheirus lesueuri,Ceph
23606001,Spirula spirula,Ceph
