,Acoustic_Category,Taxa_Groups,ACat,CAAB_updated,bladder_research,source,link,Taxa_updated,,,,
,,,,,FnGB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Melanonus spp.,,,,
,,,,,FnGB,buoyancy,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Melanostomiatidae - undifferentiated,,,,
56,F,F,F,37097002,FnGB,Coad - marine fishes of Canada,https://www.degruyter.com/document/doi/10.3138/9781442667297-039/pdf,Microstoma australis,,,,
,,,,,FnGB,Brian W. Coad,,Microstomatidae - undifferentiated,,,,
,,,,,,,,Miripinnati spp.,,,,
78,FGB,FGB,FGB,NA,,,,Myctophid larvae,,,,
,,,,,FGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Myctophidae - undifferentiated,,,,
23,FGB,FGB,FGB,37122096,,,,Nannobrachium achirus,,,,
114,FGB,FGB,FGB,37122920,,,,Nannobrachium spp.,,,,
136,F,F,F,37097004,FnGB,,,Nansenia ardesiaca,,,,
42,F,F,F,37076001,FGB,,https://www.encyclopedia.com/environment/encyclopedias-almanacs-transcripts-and-maps/anguilliformes-eels-and-morays,Nemichthys curvirostris,vertical migrators,,,Melanostomiidae
,,,,,FGB ,,,Neoscopelidae - undifferentiated,,,,
109,F,F,F,37126750,FnGB,,,Notolepis coatsi,,,,
101,F,F,F,37126907,FnGB,,,Notolepis spp.,,,,
,,,,,FnGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Omosudidae - undifferentiated,,,,
57,F,F,F,37216008,FnGB,,Priede - family,Oneirodes notius,vertical migrators,,,
,,,,,FnGB,,Imants G. Priede,Oneirodidae - undifferentiated,vertical migrators,,,
,,,,,FGB,,Imants G. Priede,Ophidiidae - undifferentiated,,,,
,,,,,FGB,,,Oreosomatidae - undifferentiated,,,,
132,F,F,F,37439005,FGB,Mcclatchie - family,,Paradiplospinus gracilis,,,,
122,F,F,F,37126000,FnGB,buoyancy,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Paralepididae - undifferentiated,vertical migrators,,,
76,F,F,F,37115001,FnGB,,FishBase -family,Persparsia kopua,vertical migrators,,,
,,,,,FnGB,,Imants G. Priede,Photostomias spp.,vertical migrators,,,
,,,,,FnGB,,FishBase,Platytroctidae - undifferentiated,vertical migrators,,Melamphaeidae,Melamphaidae
19,F,F,F,37251902,FGB,family,,Poromitra spp.,vertical migrators,,,
53,FGB,FGB,FGB,37122755,,,,Protomyctophum bolini,,,,
79,FGB,FGB,FGB,37122102,,,,Protomyctophum parallelum,,,,
115,FGB,FGB,FGB,37122521,,,,Protomyctophum spp.,,,,
,,,,,FnGB,,,Reinhardtius,spelt Melanomus,,,
,,,,,FnGB,buoyancy,,salmonoids,,,,
,,,,,FnGB,,,Scomber scombrus,,,,
,,,,,FGB,,,"Scombrolabracidae, Gempylidae - undifferentiated",SB prsent in all bu Scopelengys,,,
,,,,,FnGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Scopelarchidae - undifferentiated,,,,
,,,,,FnGB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Scopelengys spp.,,,,
58,F,F,F,37251005,FnGB,family,,Scopelogadus beanii,,,,
,,,,,FnGB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Squalogadus spp.,,,,
,,,,,FGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Sternoptychidae - undifferentiated,,,,
43,F,F,F,37112801,FnGB,buoyancy,,Stomias gracilis,,,,
102,F,F,F,37112902,FnGB,buoyancy,,Stomias spp.,,,,
,,,,,FnGB,buoyancy,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Stomiatidae - undifferentiated,,,,
,,,,,FnGB,buoyancy,,Stomiatoidea - undifferentiated,,,,
,,,,,FnGB,buoyancy,,stomiatoids,,,,
44,F,F,F,37112000,FnGB,buoyancy,,Stomiidae - undifferentiated,,,,
80,FGB,FGB,FGB,37122103,,,,Symbolophorus boops,,,,
123,F,F,F,37271000,FnGB,FishBase,,Trachipteridae - undifferentiated,,,,
,,,,,FGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Trichiuridae - undifferentiated,,,,
61,FGB,FGB,FGB,37099003,,,,Winteria telescopa,,,,
73,F,F,F,37106913,FGB,,csiro,Woodsia meyerwardenii,,,,
45,F,F,F,37106911,FGB,,csiro,Woodsia spp.,,,,
,,,,,FnGB,buoyancy,,Xenodermichthys copei,,,,
,,,,,FnGB,,Imants G. Priede,Xenodermichthys spp.,,,,
