"","...1","ID","Site","daylight","Depth_Stratum","Deployment","ACat","Taxa_Groups","Acoustic_Category","Taxa_updated","CAAB_updated","nos","weight_g","Weight_Std_gm3_gps","Abd_Std_nosm3_gps","Weight_Std_gm3_sp","Abd_Std_nosm3_sp","AvgL_mm","datetime_UTC_start","datetime_UTC_stop","lat_decdeg_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","VolumeFiltered_m3_speed","VolumeFiltered_m3_gps"
"132",1122,1122,"55S","Day","Lmeso",36,"Amphipods","Crustaceans","Crustaceans","Hyperiidae - undifferentiated",28570911,1,0.5,7.90405065757411e-06,1.58081013151482e-05,8.43665632086926e-06,1.68733126417385e-05,47,"31/12/2020 1:36","31/12/2020 3:36",-54.11333333,-137.5636667,-54.13416667,-137.6128333,59265.18528,63258.70388
"133",1125,1125,"55S","Day","Lmeso",36,"Amphipods","Crustaceans","Crustaceans","Pegohyperia princeps",28570031,1,3,4.74243039454447e-05,1.58081013151482e-05,5.06199379252156e-05,1.68733126417385e-05,35,"31/12/2020 1:36","31/12/2020 3:36",-54.11333333,-137.5636667,-54.13416667,-137.6128333,59265.18528,63258.70388
"134",1145,1145,"55S","Day","Lmeso",36,"FnGB","FnGB","FnGB","Melanocetus spp.",37213901,1,15,0.00023712151972722,1.58081013151482e-05,0.00025309968962607,1.68733126417385e-05,52,"31/12/2020 1:36","31/12/2020 3:36",-54.11333333,-137.5636667,-54.13416667,-137.6128333,59265.18528,63258.70388
"135",1192,1192,"58S","Night","Epi",37,"F","F","F","Paradiplospinus gracilis",37439005,1,10,0.00042869298183302,4.28692981833028e-05,0.00050619937925215,5.06199379252156e-05,227,"1/01/2021 14:08","1/01/2021 14:48",-57.98583333,-140.7623333,-57.99433333,-140.7811667,19755.06176,23326.71731
"136",1235,1235,"58S","Day","Meso",38,"worms","other","other","Tomopteris spp.",22068901,1,0.5,2.26419951927639e-05,4.52839903855278e-05,2.53099689626078e-05,5.06199379252156e-05,68,"1/01/2021 22:38","1/01/2021 23:18",-57.97916667,-140.7305,-57.98616667,-140.7498333,19755.06176,22082.85956
"137",1275,1275,"58S","Night","Meso",40,"Krill","Crustaceans","Crustaceans","Thysanoessa macrura",28702052,117,3,0.00012145599267527,0.00473678371433582,0.00015185981377564,0.00592253273725022,27.3,"2/01/2021 14:15","2/01/2021 14:55",-57.98916667,-140.7125,-57.9815,-140.7343333,19755.06176,24700.30448
"138",1277,1277,"58S","Night","Meso",40,"Medusa","Gelatinous_Active","G_nGB","Calycopsis spp.",11039901,11,38,0.00153844257388685,0.00044533863980935,0.00192355764115819,0.00055681931717737,21.6666666666667,"2/01/2021 14:15","2/01/2021 14:55",-57.98916667,-140.7125,-57.9815,-140.7343333,19755.06176,24700.30448
"139",1306,1306,"58S","Day","Lmeso",41,"F","F","F","Nansenia ardesiaca",37097004,1,12,0.00020642866950639,1.7202389125533e-05,0.00020247975170086,1.68733126417385e-05,123,"4/01/2021 2:39","4/01/2021 4:39",-56.02316667,-140.6806667,-56.046,-140.7225,59265.18528,58131.46027
"140",1312,1312,"58S","Day","Lmeso",41,"FGB","FGB","FGB","Lampanyctus spp.",37122503,3,23,0.00039565494988725,5.16071673765989e-05,0.00038808619075998,5.06199379252156e-05,44,"4/01/2021 2:39","4/01/2021 4:39",-56.02316667,-140.6806667,-56.046,-140.7225,59265.18528,58131.46027
"141",1344,1344,"58S","Night","Lmeso",42,"Amphipods","Crustaceans","Crustaceans","Eurythenes spp.",28427901,1,0.5,3.62368017595895e-06,7.2473603519179e-06,8.43665632086926e-06,1.68733126417385e-05,24,"4/01/2021 12:38","4/01/2021 14:38",-56.0195,-140.6226667,-56.05616667,-140.745,59265.18528,137981.272
"142",1352,1352,"58S","Night","Lmeso",42,"Cephalopod","Cephalopod","Cephalopod","Sepiolidae - undifferentiated",23609000,1,0.5,3.62368017595895e-06,7.2473603519179e-06,8.43665632086926e-06,1.68733126417385e-05,36,"4/01/2021 12:38","4/01/2021 14:38",-56.0195,-140.6226667,-56.05616667,-140.745,59265.18528,137981.272
"143",1451,1451,"58S","Night","Lmeso",46,"Cephalopod","Cephalopod","Cephalopod","Order Teuthoidea - undifferentiated",23615000,1,35,0.00056312378549082,1.60892510140234e-05,0.00059056594246084,1.68733126417385e-05,126.5,"6/01/2021 15:11","6/01/2021 17:11",-56.07033333,-140.4961667,-56.07683333,-140.5576667,59265.18528,62153.2972
"144",1467,1467,"58S","Night","Lmeso",46,"Gymnosome","other","other","Notobranchaeidae - undifferentiated",24413000,2,1,1.60892510140234e-05,3.21785020280469e-05,1.68733126417385e-05,3.37466252834771e-05,27,"6/01/2021 15:11","6/01/2021 17:11",-56.07033333,-140.4961667,-56.07683333,-140.5576667,59265.18528,62153.2972
"145",1503,1503,"58S","Day","Lmeso",47,"Amphipods","Crustaceans","Crustaceans","Hyperia medusarium",NA,1,0.5,9.63666344684026e-06,1.92733268936805e-05,8.43665632086926e-06,1.68733126417385e-05,20,"7/01/2021 4:55","7/01/2021 6:55",-56.07066667,-140.5386667,-56.0785,-140.589,59265.18528,51885.17818
"146",1624,1624,"58S","Night","Meso",53,"Other","other","other","eggs",NA,1,0.5,2.73128821456641e-05,5.46257642913282e-05,2.53099689626078e-05,5.06199379252156e-05,81,"9/01/2021 14:23","9/01/2021 15:03",-56.12733333,-140.3933333,-56.12916667,-140.4115,19755.06176,18306.38002
