"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"39","in2020_v08",40,1,"Phylum Chaetognatha - undifferentiated",36010000,112,1874,NA,NA,"-20 degC",NA,NA,"Chaetognath","Chaetognath"
"40","in2020_v08",41,3,"Phylum Chaetognatha - undifferentiated",36010000,172,537,"This","is","-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"41","in2020_v08",42,12,"Phylum Chaetognatha - undifferentiated",36010000,4,16,"yellow",NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"42","in2020_v08",42,14,"Phylum Chaetognatha - undifferentiated",36010000,360,100,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"43","in2020_v08",44,17,"Phylum Chaetognatha - undifferentiated",36010000,0.5,25,"<","1","-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"44","in2020_v08",45,4,"Phylum Chaetognatha - undifferentiated",36010000,180,900,"Remainder","was","-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"45","in2020_v08",46,21,"Phylum Chaetognatha - undifferentiated",36010000,205,1366,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"46","in2020_v08",46,61,"Phylum Chaetognatha - undifferentiated",36010000,0.5,NA,"subsample,","see","-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"47","in2020_v08",47,11,"Phylum Chaetognatha - undifferentiated",36010000,51,283,"remainder","-","-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"48","in2020_v08",49,24,"Phylum Chaetognatha - undifferentiated",36010000,18,133,NA,NA,"-20 degC",NA,NA,"Chaetognath","Chaetognath"
"49","in2020_v08",52,11,"Phylum Chaetognatha - undifferentiated",36010000,32,96,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"50","in2020_v08",22,36,"Thetys spp.",35103911,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"51","in2020_v08",1,7,"Salpa spp.",35103908,30,10,NA,NA,"-20 degC",NA,NA,"Tunicates","Gelatinous"
"52","in2020_v08",7,17,"Salpa spp.",35103908,75,39,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"53","in2020_v08",7,39,"Salpa spp.",35103908,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"54","in2020_v08",16,22,"Salpa spp.",35103908,0.5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"55","in2020_v08",22,42,"Salpa spp.",35103908,10,6,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
"56","in2020_v08",30,56,"Salpa spp.",35103908,2,4,NA,NA,"-20 degC",NA,"Plastic Bag","Tunicates","Gelatinous"
