"","Message ID","Latitude","Longitude","Site","Net_Name","Deployment","Depth_Stratum","daylight","date_start","lat_decdeg_start","DateR_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","Site_stop","date_stop","DateR_stop","towtime","Speed_mpm","distance_m_byspeed","VolumeFiltered_m3_speed"
"22",470,"55  49.52 S","138  55.39 E","55S","RMT16",28,"Lmeso","Day",2020-12-26 05:28:00,-54.1746666666667,"26/12/2020 5:28",-137.076833333333,-54.211,-137.1255,"55S",2020-12-26 07:28:00,"26/12/2020 7:28",120,30.867284,3704.07408,59265.18528
"23",574,"55  49.67 S","138  35.14 E","55S","RMT16",34,"Meso","Night",2020-12-29 13:42:00,-54.1721666666667,"29/12/2020 13:42",-137.414333333333,-54.1748333333333,-137.437666666667,"55S",2020-12-29 14:22:00,"29/12/2020 14:22",40,30.867284,1234.69136,19755.06176
"24",688,"55  49.77 S","138  26.23 E","55S","RMT16",35,"Lmeso","Night",2020-12-30 15:43:00,-54.1705,"30/12/2020 15:43",-137.562833333333,-54.1906666666667,-137.6135,"55S",2020-12-30 17:43:00,"30/12/2020 17:43",120,30.867284,3704.07408,59265.18528
"25",572,"55  50.16 S","138  45.8 E","55S","RMT16",30,"Lmeso","Day",2020-12-27 02:28:00,-54.164,"27/12/2020 2:28",-137.236666666667,-54.1838333333333,-137.337,"55S",2020-12-27 03:08:00,"27/12/2020 3:08",40,30.867284,1234.69136,19755.06176
"26",468,"55  50.75 S","138  59.51 E","55S","RMT16",27,"Epi","Night",2020-12-25 13:23:00,-54.1541666666667,"25/12/2020 13:23",-137.008166666667,-54.1561666666667,-137.032166666667,"55S",2020-12-25 14:03:00,"25/12/2020 14:03",40,30.867284,1234.69136,19755.06176
"27",708,"55  53.2 S","138  26.18 E","55S","RMT16",36,"Lmeso","Day",2020-12-31 01:36:00,-54.1133333333333,"31/12/2020 1:36",-137.563666666667,-54.1341666666667,-137.612833333333,"55S",2020-12-31 03:36:00,"31/12/2020 3:36",120,30.867284,3704.07408,59265.18528
"28",465,"55  53.88 S","139  05.43 E","55S","RMT16",24,"Meso","Day",2020-12-24 05:38:00,-54.102,"24/12/2020 5:38",-138.9095,-54.1038333333333,-138.936666666667,"55S",2020-12-24 06:18:00,"24/12/2020 6:18",40,30.867284,1234.69136,19755.06176
"29",423,"55  54.19 S","139  08.73 E","55S","RMT16",23,"Epi","Day",2020-12-24 02:49:00,-54.0968333333333,"24/12/2020 2:49",-138.8545,-54.0986666666667,-138.881,"55S",2020-12-24 03:29:00,"24/12/2020 3:29",40,30.867284,1234.69136,19755.06176
"30",308,"47  04.39 S","141  20.91 E","SOTS","RMT16",22,"Lmeso","Day",2020-12-20 02:51:00,-46.9268333333333,"20/12/2020 2:51",-140.6515,-46.9575,-140.681333333333,"SOTS",2020-12-20 04:51:00,"20/12/2020 4:51",120,30.867284,3704.07408,59265.18528
"31",250,"47  04.74 S","141  21.9 E","SOTS","RMT16",8,"Epi","Day",2020-12-13 23:31:00,-46.921,"13/12/2020 23:31",-140.635,-46.9336666666667,-140.636833333333,"SOTS",2020-12-14 00:11:00,"14/12/2020 0:11",40,30.867284,1234.69136,19755.06176
"32",256,"47  04.77 S","141  21.82 E","SOTS","RMT16",12,"Meso","Night",2020-12-14 14:23:00,-46.9205,"14/12/2020 14:23",-140.636333333333,-46.9323333333333,-140.644166666667,"SOTS",2020-12-14 15:03:00,"14/12/2020 15:03",40,30.867284,1234.69136,19755.06176
"33",254,"47  04.77 S","141  22.33 E","SOTS","RMT16",11,"Epi","Night",2020-12-14 11:23:00,-46.9205,"14/12/2020 11:23",-140.627833333333,-46.9333333333333,-140.636166666667,"SOTS",2020-12-14 12:03:00,"14/12/2020 12:03",40,30.867284,1234.69136,19755.06176
"34",252,"47  04.95 S","141  21.92 E","SOTS","RMT16",10,"Meso","Day",2020-12-14 04:52:00,-46.9175,"14/12/2020 4:52",-140.634666666667,-46.9345,-140.6445,"SOTS",2020-12-14 05:32:00,"14/12/2020 5:32",40,30.867284,1234.69136,19755.06176
"35",262,"47  04.96 S","141  21.45 E","SOTS","RMT16",15,"Epi","Day",2020-12-17 21:19:00,-46.9173333333333,"17/12/2020 21:19",-140.6425,-46.929,-140.651666666667,"SOTS",2020-12-17 21:59:00,"17/12/2020 21:59",40,30.867284,1234.69136,19755.06176
